input alg leaves trees k level t1 t2 t3 timeout errorInFile
150_leaves_21_trees_7_trees_10.txt Hybroscale 150 7 -150 0 9999 9999 9999 True False
150_leaves_21_trees_7_trees_2.txt Hybroscale 150 7 -150 0 9999 9999 9999 True False
150_leaves_21_trees_7_trees_3.txt Hybroscale 150 7 -150 0 9999 9999 9999 True False
150_leaves_21_trees_7_trees_4.txt Hybroscale 150 7 -150 0 9999 9999 9999 True False
150_leaves_21_trees_7_trees_5.txt Hybroscale 150 7 -150 0 9999 9999 9999 True False
150_leaves_21_trees_7_trees_6.txt Hybroscale 150 7 -150 0 9999 9999 9999 True False
150_leaves_21_trees_7_trees_7.txt Hybroscale 150 7 -150 0 9999 9999 9999 True False
150_leaves_21_trees_7_trees_8.txt Hybroscale 150 7 -150 0 9999 9999 9999 True False
150_leaves_21_trees_7_trees_9.txt Hybroscale 150 7 -150 0 9999 9999 9999 True False
150_leaves_21_trees_8_trees_1.txt Hybroscale 150 8 -150 0 9999 9999 9999 True False
150_leaves_21_trees_8_trees_10.txt Hybroscale 150 8 -150 0 9999 9999 9999 True False
150_leaves_21_trees_8_trees_2.txt Hybroscale 150 8 -150 0 9999 9999 9999 True False
150_leaves_21_trees_8_trees_3.txt Hybroscale 150 8 -150 0 9999 9999 9999 True False
150_leaves_21_trees_8_trees_4.txt Hybroscale 150 8 -150 0 9999 9999 9999 True False
150_leaves_21_trees_8_trees_5.txt Hybroscale 150 8 -150 0 9999 9999 9999 True False
150_leaves_21_trees_8_trees_6.txt Hybroscale 150 8 -150 0 9999 9999 9999 True False
150_leaves_21_trees_8_trees_7.txt Hybroscale 150 8 -150 0 9999 9999 9999 True False
150_leaves_21_trees_8_trees_8.txt Hybroscale 150 8 -150 0 9999 9999 9999 True False
150_leaves_21_trees_8_trees_9.txt Hybroscale 150 8 -150 0 9999 9999 9999 True False
20_leaves_1684_trees_2_trees_1.txt Hybroscale 20 2 8 -1 0.279 0.416 0.061 False False
20_leaves_1684_trees_2_trees_10.txt Hybroscale 20 2 3 -1 0.171 0.204 0.037 False False
20_leaves_1684_trees_2_trees_2.txt Hybroscale 20 2 4 -1 0.164 0.233 0.012 False False
20_leaves_1684_trees_2_trees_3.txt Hybroscale 20 2 8 -1 0.195 0.292 0.043 False False
20_leaves_1684_trees_2_trees_4.txt Hybroscale 20 2 4 -1 0.174 0.206 0.041 False False
20_leaves_1684_trees_2_trees_5.txt Hybroscale 20 2 5 -1 0.173 0.236 0.016 False False
20_leaves_1684_trees_2_trees_6.txt Hybroscale 20 2 6 -1 0.179 0.217 0.041 False False
20_leaves_1684_trees_2_trees_7.txt Hybroscale 20 2 5 -1 0.176 0.234 0.024 False False
20_leaves_1684_trees_2_trees_8.txt Hybroscale 20 2 5 -1 0.168 0.211 0.039 False False
20_leaves_1684_trees_2_trees_9.txt Hybroscale 20 2 4 -1 0.172 0.23 0.013 False False
20_leaves_1684_trees_3_trees_1.txt Hybroscale 20 3 11 -1 6.227 9.571 0.201 False False
20_leaves_1684_trees_3_trees_10.txt Hybroscale 20 3 8 -1 5.223 5.851 0.151 False False
20_leaves_1684_trees_3_trees_2.txt Hybroscale 20 3 9 -1 7.712 3.172 0.124 False False
20_leaves_1684_trees_3_trees_3.txt Hybroscale 20 3 8 -1 2.743 5.737 0.161 False False
20_leaves_1684_trees_3_trees_4.txt Hybroscale 20 3 8 -1 3.781 10.596 0.225 False False
20_leaves_1684_trees_3_trees_5.txt Hybroscale 20 3 8 -1 3.317 6.747 0.202 False False
20_leaves_1684_trees_3_trees_6.txt Hybroscale 20 3 10 -1 5.218 8.234 0.093 False False
20_leaves_1684_trees_3_trees_7.txt Hybroscale 20 3 8 -1 3.765 10.8 0.284 False False
20_leaves_1684_trees_3_trees_8.txt Hybroscale 20 3 9 -1 5.269 10.83 0.283 False False
20_leaves_1684_trees_3_trees_9.txt Hybroscale 20 3 9 -1 6.366 8.376 0.174 False False
20_leaves_1684_trees_4_trees_1.txt Hybroscale 20 4 11 -1 16.0 43.964 0.938 False False
20_leaves_1684_trees_4_trees_10.txt Hybroscale 20 4 9 -1 9.978 25.692 0.621 False False
20_leaves_1684_trees_4_trees_2.txt Hybroscale 20 4 -20 0 9999 9999 9999 True False
20_leaves_1684_trees_4_trees_3.txt Hybroscale 20 4 10 -1 380.381 1494.104 2.804 False False
20_leaves_1684_trees_4_trees_4.txt Hybroscale 20 4 11 -1 779.071 3078.749 4.961 False False
20_leaves_1684_trees_4_trees_5.txt Hybroscale 20 4 13 -1 208.726 814.8340000000001 2.045 False False
20_leaves_1684_trees_4_trees_6.txt Hybroscale 20 4 11 -1 18.506 61.881 0.945 False False
20_leaves_1684_trees_4_trees_7.txt Hybroscale 20 4 -20 0 9999 9999 9999 True False
20_leaves_1684_trees_4_trees_8.txt Hybroscale 20 4 -20 0 9999 9999 9999 True False
20_leaves_1684_trees_4_trees_9.txt Hybroscale 20 4 -20 0 9999 9999 9999 True False
20_leaves_1684_trees_5_trees_1.txt Hybroscale 20 5 12 -1 270.735 1060.799 2.356 False False
20_leaves_1684_trees_5_trees_10.txt Hybroscale 20 5 11 -1 1052.436 4164.587 6.492 False False
20_leaves_1684_trees_5_trees_2.txt Hybroscale 20 5 14 -1 2045.95 8101.865 11.99 False False
20_leaves_1684_trees_5_trees_3.txt Hybroscale 20 5 -20 0 9999 9999 9999 True False
20_leaves_1684_trees_5_trees_5.txt Hybroscale 20 5 -20 0 9999 9999 9999 True False
20_leaves_1684_trees_5_trees_6.txt Hybroscale 20 5 -20 0 9999 9999 9999 True False
20_leaves_1684_trees_5_trees_7.txt Hybroscale 20 5 -20 0 9999 9999 9999 True False
20_leaves_1684_trees_5_trees_8.txt Hybroscale 20 5 -20 0 9999 9999 9999 True False
20_leaves_1684_trees_5_trees_9.txt Hybroscale 20 5 -20 0 9999 9999 9999 True False
20_leaves_1684_trees_6_trees_1.txt Hybroscale 20 6 -20 0 9999 9999 9999 True False
20_leaves_1684_trees_6_trees_10.txt Hybroscale 20 6 -20 0 9999 9999 9999 True False
20_leaves_1684_trees_6_trees_2.txt Hybroscale 20 6 -20 0 9999 9999 9999 True False
20_leaves_1684_trees_6_trees_4.txt Hybroscale 20 6 -20 0 9999 9999 9999 True False
20_leaves_1684_trees_6_trees_5.txt Hybroscale 20 6 -20 0 9999 9999 9999 True False
20_leaves_1684_trees_6_trees_6.txt Hybroscale 20 6 -20 0 9999 9999 9999 True False
20_leaves_1684_trees_6_trees_7.txt Hybroscale 20 6 -20 0 9999 9999 9999 True False
20_leaves_1684_trees_6_trees_8.txt Hybroscale 20 6 -20 0 9999 9999 9999 True False
20_leaves_1684_trees_6_trees_9.txt Hybroscale 20 6 -20 0 9999 9999 9999 True False
20_leaves_1684_trees_7_trees_1.txt Hybroscale 20 7 -20 0 9999 9999 9999 True False
20_leaves_1684_trees_7_trees_10.txt Hybroscale 20 7 -20 0 9999 9999 9999 True False
20_leaves_1684_trees_7_trees_2.txt Hybroscale 20 7 -20 0 9999 9999 9999 True False
20_leaves_1684_trees_7_trees_3.txt Hybroscale 20 7 -20 0 9999 9999 9999 True False
20_leaves_1684_trees_7_trees_4.txt Hybroscale 20 7 -20 0 9999 9999 9999 True False
